"filename", "language", "MCMETA", "MC-Build", "JSON", "mcfunction", "JavaScript", "comment", "blank", "total"
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/remove/zzz/this/recursively_kill_passengers.mcfunction", "mcfunction", 0, 0, 0, 2, 0, 1, 0, 3
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/remove_animation_objectives.mcfunction", "mcfunction", 0, 0, 0, 2, 0, 1, 0, 3
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/root/on_tick.mcfunction", "mcfunction", 0, 0, 0, 3, 0, 1, 0, 4
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/set_default_pose.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/summon.mcfunction", "mcfunction", 0, 0, 0, 4, 0, 1, 0, 5
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/variants/default/apply.mcfunction", "mcfunction", 0, 0, 0, 7, 0, 1, 0, 8
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/variants/default/zzz/apply_to_bone_body.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/variants/default/zzz/apply_to_bone_head.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/variants/default/zzz/apply_to_bone_left_arm.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/variants/default/zzz/apply_to_bone_left_leg.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/variants/default/zzz/apply_to_bone_right_arm.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/variants/default/zzz/apply_to_bone_right_leg.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/variants/steve/apply.mcfunction", "mcfunction", 0, 0, 0, 7, 0, 1, 0, 8
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/variants/steve/zzz/apply_to_bone_body.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/variants/steve/zzz/apply_to_bone_head.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/variants/steve/zzz/apply_to_bone_left_arm.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/variants/steve/zzz/apply_to_bone_left_leg.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/variants/steve/zzz/apply_to_bone_right_arm.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/variants/steve/zzz/apply_to_bone_right_leg.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/zzz/summon/animation_arg/process.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/zzz/summon/animation_arg/start_animation.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/zzz/summon/animation_arg/try_set_frame.mcfunction", "mcfunction", 0, 0, 0, 5, 0, 1, 0, 6
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/zzz/summon/animation_arg/zzz/2.mcfunction", "mcfunction", 0, 0, 0, 2, 0, 1, 0, 3
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/zzz/summon/animation_arg/zzz/3.mcfunction", "mcfunction", 0, 0, 0, 2, 0, 1, 0, 3
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/zzz/summon/animation_arg/zzz/4.mcfunction", "mcfunction", 0, 0, 0, 2, 0, 1, 0, 3
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/zzz/summon/as_data_entity.mcfunction", "mcfunction", 0, 0, 0, 14, 0, 1, 0, 15
